timestamp,production_rate,planned_rate,good_units,total_units,uptime_minutes,planned_minutes
2025-01-01 08:00,95,100,94,100,55,60
2025-01-01 09:00,98,100,97,100,58,60
2025-01-01 10:00,45,100,44,50,30,60
2025-01-01 11:00,92,100,90,95,57,60
2025-01-01 12:00,96,100,95,100,59,60
2025-01-01 13:00,94,100,93,98,56,60
2025-01-01 14:00,97,100,96,100,58,60
2025-01-01 15:00,93,100,92,97,55,60
2025-01-01 16:00,99,100,98,100,59,60
2025-01-01 17:00,91,100,89,95,54,60
2025-01-02 08:00,96,100,95,100,57,60
2025-01-02 09:00,94,100,93,98,56,60
2025-01-02 10:00,98,100,97,100,58,60
2025-01-02 11:00,25,100,24,30,20,60
2025-01-02 12:00,95,100,94,99,57,60
2025-01-02 13:00,97,100,96,100,58,60
2025-01-02 14:00,93,100,91,96,55,60
2025-01-02 15:00,96,100,95,100,57,60
2025-01-02 16:00,92,100,90,95,54,60
2025-01-02 17:00,98,100,97,100,59,60
2025-01-03 08:00,94,100,93,98,56,60
2025-01-03 09:00,97,100,96,100,58,60
2025-01-03 10:00,95,100,94,99,57,60
2025-01-03 11:00,150,100,98,100,60,60
2025-01-03 12:00,96,100,95,100,58,60
2025-01-03 13:00,93,100,91,96,55,60
2025-01-03 14:00,98,100,97,100,59,60
2025-01-03 15:00,94,100,93,98,56,60
2025-01-03 16:00,97,100,96,100,58,60
2025-01-03 17:00,91,100,89,94,53,60
2025-01-04 08:00,95,100,94,99,57,60
2025-01-04 09:00,98,100,97,100,59,60
2025-01-04 10:00,35,100,33,40,25,60
2025-01-04 11:00,96,100,95,100,58,60
2025-01-04 12:00,94,100,93,98,56,60
2025-01-04 13:00,97,100,96,100,58,60
2025-01-04 14:00,92,100,90,95,54,60
2025-01-04 15:00,99,100,98,100,59,60
2025-01-04 16:00,93,100,91,96,55,60
2025-01-04 17:00,96,100,95,100,57,60
